Gene	Tau	Tissue
AT1G04550	0.364025110971	carpel
AT1G04555	0.335390217738	receptacle
AT1G04560	0.986081616438	dark-grown seedling
AT1G04570	0.660744679867	pollen
AT1G04580	0.838753166375	receptacle
AT1G04590	0.298524686923	carpel
AT1G04600	0.955228021132	pollen
AT1G04610	0.714551547958	root
AT1G04620	0.339810439849	receptacle
AT1G04625	1.0	pollen
AT1G04630	0.23700877903	root apical meristem
AT1G04635	0.454925462855	carpel
AT1G04640	0.337994623793	shoot apical meristem
AT1G04645	0.956756805363	receptacle
AT1G04650	0.797148399841	carpel
AT1G04660	0.774026269227	carpel
AT1G04670	0.95719108164	stage 12 inflorescence
AT1G04680	0.327483738834	receptacle
AT1G04690	0.219622950797	receptacle
AT1G04700	0.861454901015	pollen
AT1G04710	0.190254141458	carpel
AT1G04730	0.627654484257	carpel
AT1G04750	0.204833327171	carpel
AT1G04760	0.56903859639	pollen
AT1G04770	0.310326126477	carpel
AT1G04778	0.839450376645	root
AT1G04780	0.291064185135	receptacle
AT1G04790	0.204863306379	carpel
AT1G04800	0.58212312839	shoot apical meristem
AT1G04810	0.313783994361	root apical meristem
AT1G04820	0.138595128392	carpel
AT1G04830	0.206204768546	dark-grown seedling
AT1G04840	0.850093062377	carpel
AT1G04850	0.199127981653	root
AT1G04860	0.231165379567	root
AT1G04870	0.255175768986	carpel
AT1G04880	0.874029861956	pollen
AT1G04890	0.921590718962	pollen
AT1G04900	0.403420804357	carpel
AT1G04910	0.235035755321	carpel
AT1G04920	0.890429549903	stage 12 inflorescence
AT1G04930	0.344705366096	carpel
AT1G04940	0.304845346042	shoot apical meristem
AT1G04945	0.427217106168	carpel
AT1G04950	0.306872111945	carpel
AT1G04960	0.251425779456	receptacle
AT1G04970	0.301196492602	receptacle
AT1G04980	0.332426875255	root
AT1G04985	0.328561945121	pollen
AT1G04990	0.205471492445	carpel
AT1G05000	0.640124532292	root
AT1G05010	0.433165038112	receptacle
AT1G05020	0.910696551064	pollen
AT1G05030	0.242368668704	aerial
AT1G05040	1.0	stage 12 inflorescence
AT1G05055	0.324959749232	carpel
AT1G05060	0.135787223674	receptacle
AT1G05061	0.893996458946	carpel
AT1G05065	0.527942898042	shoot apical meristem
AT1G05070	0.222690348714	stage 12 inflorescence
AT1G05090	0.273608450511	carpel
AT1G05100	0.74509993611	receptacle
AT1G05120	0.257311052756	carpel
AT1G05135	0.430710374826	leaf
AT1G05136	0.934792937654	light-grown seedling
AT1G05140	0.320020998639	aerial
AT1G05150	0.285683963653	carpel
AT1G05160	0.419822866018	carpel
AT1G05170	0.372161965136	receptacle
AT1G05180	0.249801102386	root
AT1G05190	0.347431402183	shoot apical meristem
AT1G05200	0.366259826526	leaf
AT1G05205	0.336774917922	root apical meristem
AT1G05210	0.412020015812	carpel
AT1G05220	0.860456620236	root
AT1G05230	0.484081345368	carpel
AT1G05250	0.843075511802	root apical meristem
AT1G05260	0.640032514846	receptacle
AT1G05270	0.219648091621	dark-grown seedling
AT1G05280	0.891242302749	root apical meristem
AT1G05300	0.474431832844	root
AT1G05310	0.558618543094	root apical meristem
AT1G05320	0.341459649452	root
AT1G05330	0.931684016372	receptacle
AT1G05340	0.579537459591	receptacle
AT1G05350	0.184863366429	root
AT1G05360	0.281785781742	carpel
AT1G05370	0.688572130273	root
AT1G05380	0.284796640058	pollen
AT1G05385	0.342853665924	shoot apical meristem
AT1G05400	0.726562778494	root
AT1G05410	0.273668951583	carpel
AT1G05420	0.679875772289	carpel
AT1G05430	0.270056447194	carpel
AT1G05440	0.75312923624	carpel
AT1G05450	0.776971308161	carpel
AT1G05460	0.465960814268	carpel
AT1G05470	0.45619146338	carpel
AT1G05490	0.834969933521	carpel
AT1G05500	0.202342911664	root
AT1G05510	0.996742930406	dark-grown seedling
AT1G05520	0.233739620881	root
AT1G05530	0.9062220207	root apical meristem
AT1G05540	0.724159843402	carpel
AT1G05550	0.885932351851	carpel
AT1G05560	0.35556170607	receptacle
AT1G05562	0.692171779853	receptacle
AT1G05570	0.37549987952	root
AT1G05575	0.59456542867	root apical meristem
AT1G05577	0.920563580043	stage 12 inflorescence
AT1G05580	0.908709701226	pollen
AT1G05590	0.307809706608	carpel
AT1G05600	0.442459461215	dark-grown seedling
AT1G05610	0.948331555653	receptacle
AT1G05620	0.311907049721	root
AT1G05630	0.277320439996	pollen
AT1G05640	0.482352351695	carpel
AT1G05650	0.914431052686	root apical meristem
AT1G05660	0.880945419247	root apical meristem
AT1G05670	0.518800503144	carpel
AT1G05675	0.851303185846	leaf
AT1G05680	0.678778542274	root apical meristem
AT1G05690	0.761134165113	aerial
AT1G05700	0.837025509537	root
AT1G05710	0.455986187062	carpel
AT1G05720	0.264423420036	carpel
AT1G05730	0.714793803477	carpel
AT1G05750	0.449390804095	carpel
AT1G05760	0.487522447183	root
AT1G05770	0.752723478687	receptacle
AT1G05780	0.368978008978	dark-grown seedling
AT1G05785	0.295170728951	dark-grown seedling
AT1G05790	0.311292005788	pollen
AT1G05805	0.20649376515	receptacle
AT1G05810	0.386962200415	dark-grown seedling
AT1G05820	0.822420699335	pollen
AT1G05830	0.29738452378	dark-grown seedling
AT1G05835	0.505510072737	carpel
AT1G05840	0.321704286742	dark-grown seedling
AT1G05850	0.149931313775	aerial
AT1G05860	0.341955957519	carpel
AT1G05870	0.25767681297	carpel
AT1G05880	0.80239270712	dark-grown seedling
AT1G05890	0.32175325224	dark-grown seedling
AT1G05894	0.96646267985	root
AT1G05900	0.295741611064	stage 12 inflorescence
AT1G05910	0.357552793773	carpel
AT1G05940	0.141272136815	dark-grown seedling
AT1G05950	0.664724834176	carpel
AT1G05960	0.403491339068	pollen
AT1G05970	0.411341975686	carpel
AT1G05980	1.0	light-grown seedling
AT1G05990	0.921286532316	root apical meristem
AT1G06000	0.275087373823	stage 12 inflorescence
AT1G06002	0.59114406003	aerial
AT1G06010	0.320814526794	carpel
AT1G06020	0.995255363772	receptacle
AT1G06030	0.989063516137	root apical meristem
AT1G06040	0.24689397477	aerial
AT1G06050	0.495013383258	pollen
AT1G06060	0.236991254007	dark-grown seedling
AT1G06070	0.34651953593	carpel
AT1G06080	0.542621867033	carpel
AT1G06090	0.837874977644	root apical meristem
AT1G06100	0.832117485204	shoot apical meristem
AT1G06110	0.328702752805	dark-grown seedling
AT1G06120	0.856185114544	root apical meristem
AT1G06130	0.190518826923	carpel
AT1G06135	1.0	leaf
AT1G06137	0.996391686942	dark-grown seedling
AT1G06140	0.846762478603	carpel
AT1G06148	0.986234433413	receptacle
AT1G06150	0.305704254695	carpel
AT1G06160	0.780878522623	root
AT1G06170	0.996599604419	root
AT1G06180	0.384026183504	root
AT1G06190	0.370187749428	shoot apical meristem
AT1G06200	0.174979504383	root
AT1G06210	0.276207242638	stage 12 inflorescence
AT1G06220	0.278143255577	carpel
AT1G06225	0.900146051779	root
AT1G06230	0.259428039525	carpel
AT1G06240	0.29227992594	aerial
AT1G06250	0.630967898982	stage 12 inflorescence
AT1G06260	0.852332684958	stage 12 inflorescence
AT1G06265	0.709212775839	dark-grown seedling
AT1G06270	0.470192179983	carpel
AT1G06280	0.994881403665	carpel
AT1G06290	0.224588084671	receptacle
AT1G06310	0.892087295262	carpel
AT1G06320	0.923614071719	root
AT1G06330	0.84127619421	root apical meristem
AT1G06340	0.89841149176	stage 12 inflorescence
AT1G06350	0.689738227999	carpel
AT1G06360	0.654023040343	shoot apical meristem
AT1G06370	0.580948776338	dark-grown seedling
AT1G06380	0.32743686676	carpel
AT1G06390	0.278975443466	dark-grown seedling
AT1G06400	0.234524733574	dark-grown seedling
AT1G06410	0.152613267546	carpel
AT1G06420	0.722672358422	carpel
AT1G06430	0.348362695552	aerial
AT1G06440	0.683020788152	carpel
AT1G06450	0.541854158963	carpel
AT1G06460	0.336099598809	shoot apical meristem
AT1G06470	0.259522596914	receptacle
AT1G06475	0.766203310852	carpel
AT1G06490	0.794005787239	root
AT1G06500	0.251337237732	carpel
AT1G06510	0.376984514654	shoot apical meristem
AT1G06515	0.226036144184	carpel
AT1G06520	0.746815789442	receptacle
AT1G06530	0.197320388552	shoot apical meristem
AT1G06540	0.7171824842	pollen
AT1G06550	0.383822547589	receptacle
AT1G06560	0.292563199051	carpel
AT1G06570	0.481354190569	dark-grown seedling
AT1G06580	0.604468845665	carpel
AT1G06590	0.473603698318	carpel
AT1G06620	0.474831306332	root
AT1G06630	0.300088033326	dark-grown seedling
AT1G06640	0.353228864278	root
AT1G06645	0.530806188819	aerial
AT1G06650	0.334816735373	aerial
AT1G06660	0.644691337201	carpel
AT1G06670	0.31341237946	carpel
AT1G06680	0.303334890297	leaf
AT1G06690	0.364857751767	stage 12 inflorescence
AT1G06700	0.363636872554	pollen
AT1G06710	0.642845064431	carpel
AT1G06720	0.331065355382	carpel
AT1G06730	0.218993517031	carpel
AT1G06740	0.608561151182	carpel
AT1G06750	0.947402622713	pollen
AT1G06760	0.237325548568	carpel
AT1G06770	0.372296011743	pollen
AT1G06780	0.384471011006	root
AT1G06790	0.357093035007	carpel
AT1G06800	0.381547167786	root apical meristem
AT1G06820	0.214330154055	shoot apical meristem
AT1G06830	0.550884280177	aerial
AT1G06840	0.38857347566	root
AT1G06850	0.363944052298	root apical meristem
AT1G06870	0.32440144802	root apical meristem
AT1G06890	0.333876912744	pollen
AT1G06900	0.295880216162	dark-grown seedling
AT1G06910	0.443551954321	carpel
AT1G06920	0.898399296809	receptacle
AT1G06923	0.904159878377	root
AT1G06925	0.945109391065	receptacle
AT1G06930	0.896615258034	root apical meristem
AT1G06950	0.278671176589	shoot apical meristem
AT1G06960	0.318869113248	carpel
AT1G06970	0.957007315491	pollen
AT1G06980	0.720078544807	dark-grown seedling
AT1G06990	1.0	stage 12 inflorescence
AT1G07000	0.452575493262	aerial
AT1G07010	0.475013458832	aerial
AT1G07020	0.295813335454	carpel
AT1G07025	1.0	light-grown seedling
AT1G07030	0.253126596862	root apical meristem
AT1G07040	0.412006946098	receptacle
AT1G07050	0.588637454947	shoot apical meristem
AT1G07060	0.964341644905	pollen
AT1G07070	0.248037278579	carpel
AT1G07080	0.154110652156	aerial
AT1G07090	0.250370390032	dark-grown seedling
AT1G07110	0.245985928458	dark-grown seedling
AT1G07119	0.478379884307	carpel
AT1G07120	0.836552743776	root
AT1G07128	0.623490563592	root
AT1G07130	0.550642037207	root apical meristem
AT1G07135	0.525153321785	carpel
AT1G07140	0.154651225531	root
AT1G07150	0.666862021903	root apical meristem
AT1G07160	0.938345846299	root apical meristem
AT1G07170	0.197736547862	root apical meristem
AT1G07175	0.841759926304	root apical meristem
AT1G07180	0.666113088788	aerial
AT1G07200	0.310185836066	receptacle
AT1G07210	0.217914138148	carpel
AT1G07220	0.396458745877	carpel
AT1G07230	0.283591778225	carpel
AT1G07240	0.335946924281	dark-grown seedling
AT1G07250	0.214721394278	root apical meristem
AT1G07260	0.728282304825	root
AT1G07270	0.807963154099	carpel
AT1G07280	0.41488349052	leaf
AT1G07290	0.697795753331	root
AT1G07300	0.356618406615	carpel
AT1G07310	0.179883443833	dark-grown seedling
AT1G07320	0.313443184171	shoot apical meristem
AT1G07330	0.933123487715	pollen
AT1G07350	0.250104307687	dark-grown seedling
AT1G07360	0.186467037093	root apical meristem
AT1G07370	0.412040285115	carpel
AT1G07380	0.478191225805	root
AT1G07390	0.803230581955	receptacle
AT1G07400	0.634165422404	root apical meristem
